hub_name,hub_type,operational_status,street_address,city,country,latitude,longitude,website,email,phone,source,last_verified,data_source,license,notes
IncubeMe Algeria,Innovation / Tech Hub,Active (Verified),,Algiers,Algeria,36.7582914,2.9187497,https://incubeme.dz/,contact@incubeme.dz,,https://incubeme.dz/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Incubme Algeria,Innovation / Tech Hub,Active (Verified),,Algiers,Algeria,36.7582914,2.9187497,https://incubme.dz/,contact@incubme.dz,,https://incubme.dz/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
PAUWES Entrepreneurship Hub,Innovation / Tech Hub,Active (Verified),PAUWES Campus,Tlemcen,Algeria,34.920803,-1.3024763,https://www.pauwes.dz/,contact@pauwes.dz,,https://www.pauwes.dz/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Acelera Angola,NGO / Foundation,Active (Verified),,Luanda,Angola,-8.9476231,13.1895372,https://aceleraangola.org/,info@aceleraangola.org,,https://aceleraangola.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
KiandaHub,Innovation / Tech Hub,Active (Verified),,Luanda,Angola,-8.8273535,13.2468903,https://kiandahub.org/,info@kiandahub.org,,https://kiandahub.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
IT Kola,Innovation / Tech Hub,Active (Verified),,Cotonou,Benin,6.3562425,2.4277995,https://itkola.com/,info@itkola.com,,https://itkola.com/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
I’M IN STARTUP HUB,Innovation / Tech Hub,Active (Verified),,Cotonou,Benin,6.3562425,2.4277995,https://iminstartuphub.com/,contact@iminstartuphub.com,22997979797.0,https://iminstartuphub.com/contact/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Jokkolabs Cotonou,University / Research Hub,Active (Verified),,Cotonou,Benin,6.3737091,2.4257718,https://jokkolabs.net/,cotonou@jokkolabs.net,,https://jokkolabs.net/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Botswana Innovation Hub,Innovation / Tech Hub,Active (Verified),"Plot 50672, Fairgrounds",Gaborone,Botswana,-24.5884854,25.9068847,https://www.bih.co.bw/,info@bih.co.bw,2673681800.0,https://www.bih.co.bw/contact-us/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
Dream Factory Innovation,Innovation / Tech Hub,Active (Verified),,Gaborone,Botswana,-24.6580003,25.9077037,https://dreamfactorybw.org/,info@dreamfactorybw.org,,https://dreamfactorybw.org/,2025-12-29,"Public web sources (official websites, hub directories)",CC-BY 4.0 (recommended),
